i,similitud,distancia,texto_origen,texto_destino,texto_origen_n,texto_destino_n
20,no_hay_parecido,452,"Corresponderá al Tribunal Constitucional conocer de las infracciones a lo dispuesto en los incisos anteriores. Sin perjuicio de las demás sanciones establecidas en la Constitución o en la ley, las personas que incurran o hayan incurrido en las contravenciones señaladas precedentemente no podrán optar a funciones o cargos públicos, sean o no de elección popular, por el término de diez años contado desde la fecha de la resolución del Tribunal. Tampoco podrán ser rectores o directores de establecimientos de educación ni ejercer en ellos funciones de enseñanza, ni explotar un medio de comunicación social o ser directores o administradores del mismo, ni desempeñar en él funciones relacionadas con la emisión o difusión de opiniones o informaciones; ni podrán ser dirigentes de organizaciones políticas o relacionadas con la educación o de carácter vecinal, profesional, empresarial, sindical, estudiantil o gremial en general, durante dicho plazo.","Una ley de quórum calificado determinará las conductas terroristas y su penalidad. Los responsables de estos delitos quedarán inhabilitados por el plazo de quince años para ejercer funciones o cargos públicos, sean o no de elección popular, o de rector o director de establecimiento de educación, o para ejercer en ellos funciones de enseñanza; para explotar un medio de comunicación social o ser director o administrador del mismo, o para desempeñar en él funciones relacionadas con la emisión o difusión de opiniones o informaciones; ni podrá ser dirigentes de organizaciones políticas o relacionadas con la educación o de carácter vecinal, profesional, empresarial, sindical, estudiantil o gremial en general, durante dicho plazo. Lo anterior se entiende sin perjuicio de otras inhabilidades o de las que por mayor tiempo establezca la ley.",951,843
21,no_hay_parecido,135,"Si las personas referidas anteriormente estuvieren a la fecha de la declaración del Tribunal, en posesión de un empleo o cargo público, sea o no de elección popular, lo perderán, además, de pleno derecho.","8) Aprobar, por la mayoría de sus miembros en ejercicio, la declaración del Tribunal Constitucional a que se refiere la segunda parte del Nº 10º del artículo 93;",204,161
22,no_hay_parecido,94,"Las personas sancionadas en virtud de este precepto, no podrán ser objeto de rehabilitación durante el plazo señalado en el inciso cuarto.",Las elecciones de diputados y de senadores se efectuarán conjuntamente. Los parlamentarios podrán ser reelegidos en sus cargos.,138,127
23,no_hay_parecido,69,La duración de las inhabilidades contempladas en este artículo se elevará al doble en caso de reincidencia.,Es deber de la comunidad contribuir al desarrollo y perfeccionamiento de la educación;,107,86
24,completa,0,"Artículo 9º.- El terrorismo, en cualquiera de sus formas, es por esencia contrario a los derechos humanos.","Artículo 9º.- El terrorismo, en cualquiera de sus formas, es por esencia contrario a los derechos humanos.",106,106
25,no_hay_parecido,244,"Una ley de quórum calificado determinará las conductas terroristas y su penalidad. Los responsables de estos delitos quedarán inhabilitados por el plazo de quince años para ejercer los empleos, funciones o actividades a que se refiere el inciso cuarto del artículo anterior, sin perjuicio de otras inhabilidades o de las que por mayor tiempo establezca la ley.","La ley orgánica constitucional respectiva establecerá las causales de inhabilidad, incompatibilidad, subrogación, cesación y vacancia del cargo de gobernador regional, sin perjuicio de lo dispuesto en los artículos 124 y 125.",360,225
26,no_hay_parecido,160,"No procederá respecto de estos delitos la amnistía ni el indulto, como tampoco la libertad provisional respecto de los procesados por ellos. Estos delitos serán considerados siempre comunes y no políticos para todos los efectos legales.","No podrá el Congreso aprobar ningún nuevo gasto con cargo a los fondos de la Nación sin que se indiquen, al mismo tiempo, las fuentes de recursos necesarios para atender dicho gasto.",236,182
27,completa,0,Capítulo II,Capítulo II,11,11
28,casi_completa,1,NACIONALIDAD Y CIUDADANÍA,NACIONALIDAD Y CIUDADANIA,25,25
29,completa,0,Artículo 10.- Son chilenos:,Artículo 10.- Son chilenos:,27,27
30,completa,0,"1º.- Los nacidos en el territorio de Chile, con excepción de los hijos de extranjeros que se encuentren en Chile en servicio de su Gobierno, y de los hijos de extranjeros transeúntes, todos los que, sin embargo, podrán optar por la nacionalidad chilena;","1º.- Los nacidos en el territorio de Chile, con excepción de los hijos de extranjeros que se encuentren en Chile en servicio de su Gobierno, y de los hijos de extranjeros transeúntes, todos los que, sin embargo, podrán optar por la nacionalidad chilena;",253,253
31,no_hay_parecido,137,"2º.- Los hijos de padre o madre chilenos nacidos en territorio extranjero, hallándose cualquiera de éstos en actual servicio de la República, quienes se considerarán para todos los efectos como nacidos en el territorio chileno;","2º.- Los hijos de padre o madre chilenos, nacidos en territorio extranjero. Con todo, se requerirá que alguno de sus ascendientes en línea recta de primer o segundo grado, haya adquirido la nacionalidad chilena en virtud de lo establecido en los números 1º, 3º ó 4º;",227,266
32,no_hay_parecido,93,"3º.- Los hijos de padre o madre chilenos, nacidos en territorio extranjero, por el solo hecho de avecindarse por más de un año en Chile;","Si la Corte Suprema no emitiere opinión dentro de los plazos aludidos, se tendrá por evacuado el trámite.",136,105
33,no_hay_parecido,292,"4º.- Los extranjeros que obtuvieren carta de nacionalización en conformidad a la ley, renunciando expresamente a su nacionalidad anterior. No se exigirá esta renuncia a los nacidos en país extranjero que, en virtud de un tratado internacional, conceda este mismo beneficio a los chilenos. Los nacionalizados en conformidad a este número tendrán opción a cargos públicos de elección popular sólo después de cinco años de estar en posesión de sus cartas de nacionalización, y","Los nacionalizados en conformidad al Nº 3º del artículo 10, tendrán opción a cargos públicos de elección popular sólo después de cinco años de estar en posesión de sus cartas de nacionalización.",473,194
34,casi_completa,1,5º.- Los que obtuvieren especial gracia de nacionalización por ley.,4º.- Los que obtuvieren especial gracia de nacionalización por ley.,67,67
35,completa,0,"La ley reglamentará los procedimientos de opción por la nacionalidad chilena; de otorgamiento, negativa y cancelación de las cartas de nacionalización, y la formación de un registro de todos estos actos.","La ley reglamentará los procedimientos de opción por la nacionalidad chilena; de otorgamiento, negativa y cancelación de las cartas de nacionalización, y la formación de un registro de todos estos actos.",203,203
36,completa,0,Artículo 11.- La nacionalidad chilena se pierde:,Artículo 11.- La nacionalidad chilena se pierde:,48,48
37,no_hay_parecido,193,"1º.- Por nacionalización en país extranjero, salvo en el caso de aquellos chilenos comprendidos en los números 1º., 2º. y 3º. del artículo anterior que hubieren obtenido otra nacionalidad sin renunciar a su nacionalidad chilena y de acuerdo con lo establecido en el Nº. 4º. del mismo artículo.","2º.- Los hijos de padre o madre chilenos, nacidos en territorio extranjero. Con todo, se requerirá que alguno de sus ascendientes en línea recta de primer o segundo grado, haya adquirido la nacionalidad chilena en virtud de lo establecido en los números 1º, 3º ó 4º;",293,266
38,no_hay_parecido,267,"La causal de pérdida de la nacionalidad chilena señalada precedentemente no regirá respecto de los chilenos que, en virtud de disposiciones constitucionales, legales o administrativas del Estado en cuyo territorio residan, adopten la nacionalidad extranjera como condición de su permanencia en él o de igualdad jurídica en el ejercicio de los derechos civiles con los nacionales del respectivo país;","La declaración de culpabilidad deberá ser pronunciada por los dos tercios de los senadores en ejercicio cuando se trate de una acusación en contra del Presidente de la República o de un gobernador regional, y por la mayoría de los senadores en ejercicio en los demás casos.",399,273
39,completa,0,"2º.- Por decreto supremo, en caso de prestación de servicios durante una guerra exterior a enemigos de Chile o de sus aliados;","2º.- Por decreto supremo, en caso de prestación de servicios durante una guerra exterior a enemigos de Chile o de sus aliados;",126,126
40,no_hay_parecido,171,"3º.- Por sentencia judicial condenatoria por delitos contra la dignidad de la patria o los intereses esenciales y permanentes del Estado, así considerados por ley aprobada con quórum calificado. En estos procesos, los hechos se apreciarán siempre en conciencia;","Artículo 103.- Ninguna persona, grupo u organización podrá poseer o tener armas u otros elementos similares que señale una ley aprobada con quórum calificado, sin autorización otorgada en conformidad a ésta.",261,207
41,casi_completa,1,"4º.- Por cancelación de la carta de nacionalización, y","3º.- Por cancelación de la carta de nacionalización, y",54,54
42,casi_completa,1,5º.- Por ley que revoque la nacionalización concedida por gracia.,4º.- Por ley que revoque la nacionalización concedida por gracia.,65,65
43,completa,0,"Los que hubieren perdido la nacionalidad chilena por cualquiera de las causales establecidas en este artículo, sólo podrán ser rehabilitados por ley.","Los que hubieren perdido la nacionalidad chilena por cualquiera de las causales establecidas en este artículo, sólo podrán ser rehabilitados por ley.",149,149
44,completa,0,"Artículo 12.- La persona afectada por acto o resolución de autoridad administrativa que la prive de su nacionalidad chilena o se la desconozca, podrá recurrir, por sí o por cualquiera a su nombre, dentro del plazo de treinta días, ante la Corte Suprema, la que conocerá como jurado y en tribunal pleno. La interposición del recurso suspenderá los efectos del acto o resolución recurridos.","Artículo 12.- La persona afectada por acto o resolución de autoridad administrativa que la prive de su nacionalidad chilena o se la desconozca, podrá recurrir, por sí o por cualquiera a su nombre, dentro del plazo de treinta días, ante la Corte Suprema, la que conocerá como jurado y en tribunal pleno. La interposición del recurso suspenderá los efectos del acto o resolución recurridos.",388,388
45,completa,0,Artículo 13.- Son ciudadanos los chilenos que hayan cumplido dieciocho años de edad y que no hayan sido condenados a pena aflictiva.,Artículo 13.- Son ciudadanos los chilenos que hayan cumplido dieciocho años de edad y que no hayan sido condenados a pena aflictiva.,132,132
46,completa,0,"La calidad de ciudadano otorga los derechos de sufragio, de optar a cargos de elección popular y los demás que la Constitución o la ley confieran.","La calidad de ciudadano otorga los derechos de sufragio, de optar a cargos de elección popular y los demás que la Constitución o la ley confieran.",146,146
47,completa,0,"Artículo 14.- Los extranjeros avecindados en Chile por más de cinco años, y que cumplan con los requisitos señalados en el inciso primero del artículo 13, podrán ejercer el derecho de sufragio en los casos y formas que determine la ley.","Artículo 14.- Los extranjeros avecindados en Chile por más de cinco años, y que cumplan con los requisitos señalados en el inciso primero del artículo 13, podrán ejercer el derecho de sufragio en los casos y formas que determine la ley.",236,236
48,no_hay_parecido,40,"Artículo 15.- En las votaciones populares, el sufragio será personal, igualitario y secreto. Para los ciudadanos será, además, obligatorio.","Artículo 15.- En las votaciones populares, el sufragio será personal, igualitario, secreto y voluntario.",139,104
49,completa,0,Sólo podrá convocarse a votación popular para las elecciones y plebiscitos expresamente previstos en esta Constitución.,Sólo podrá convocarse a votación popular para las elecciones y plebiscitos expresamente previstos en esta Constitución.,119,119
50,completa,0,Artículo 16.- El derecho de sufragio se suspende:,Artículo 16.- El derecho de sufragio se suspende:,49,49
51,completa,0,1º.- Por interdicción en caso de demencia;,1º.- Por interdicción en caso de demencia;,42,42
52,parecido,4,"2º.- Por hallarse la persona procesada por delito que merezca pena aflictiva o por delito que la ley califique como conducta terrorista, y","2º.- Por hallarse la persona acusada por delito que merezca pena aflictiva o por delito que la ley califique como conducta terrorista, y",138,136
53,no_hay_parecido,172,"3º.- Por haber sido sancionado por el Tribunal Constitucional en conformidad al artículo 8º. de esta Constitución. Los que por esta causa se hallaren privados del ejercicio del derecho de sufragio lo recuperarán al término de diez años, contado desde la declaración del Tribunal.","3º.- Por haber sido sancionado por el Tribunal Constitucional en conformidad al inciso séptimo del número 15º del artículo 19 de esta Constitución. Los que por esta causa se hallaren privados del ejercicio del derecho de sufragio lo recuperarán al término de cinco años, contado desde la declaración del Tribunal. Esta suspensión no producirá otro efecto legal, sin perjuicio de lo dispuesto en el inciso séptimo del número 15º del artículo 19.",279,444
54,completa,0,Artículo 17.- La calidad de ciudadano se pierde:,Artículo 17.- La calidad de ciudadano se pierde:,48,48
55,completa,0,1º.- Por pérdida de la nacionalidad chilena;,1º.- Por pérdida de la nacionalidad chilena;,44,44
56,completa,0,"2º.- Por condena a pena aflictiva, y","2º.- Por condena a pena aflictiva, y",36,36
57,no_hay_parecido,51,3º.- Por condena por delitos que la ley califique como conducta terrorista.,4º.- Convocar a plebiscito en los casos del artículo 128;,75,57
58,no_hay_parecido,114,"Los que hubieren perdido la ciudadanía por la causal señalada en el numero 2º. podrán solicitar su rehabilitación al Senado, una vez extinguida su responsabilidad penal. Los que hubieren perdido la ciudadanía por la causal prevista en el numero 3º. sólo podrán ser rehabilitados en virtud de una ley de quórum calificado, una vez cumplida la condena.","Los que hubieren perdido la ciudadanía por la causal indicada en el número 2º, la recuperarán en conformidad a la ley, una vez extinguida su responsabilidad penal. Los que la hubieren perdido por las causales previstas en el número 3º podrán solicitar su rehabilitación al Senado una vez cumplida la condena.",350,308
59,no_hay_parecido,114,"Artículo 18.- Habrá un sistema electoral público. Una ley orgánica constitucional determinará su organización y funcionamiento, regulará la forma en que se realizarán los procesos electorales y plebiscitarios, en todo lo no previsto por esta Constitución y, garantizará siempre la plena igualdad entre los independientes y los miembros de partidos políticos tanto en la presentación de candidaturas como en su participación en los señalados procesos.","Artículo 18.- Habrá un sistema electoral público. Una ley orgánica constitucional determinará su organización y funcionamiento, regulará la forma en que se realizarán los procesos electorales y plebiscitarios, en todo lo no previsto por esta Constitución y garantizará siempre la plena igualdad entre los independientes y los miembros de partidos políticos tanto en la presentación de candidaturas como en su participación en los señalados procesos. Dicha ley establecerá también un sistema de financiamiento, transparencia, límite y control del gasto electoral.",450,562
60,completa,0,El resguardo del orden público durante los actos electorales y plebiscitarios corresponderá a las Fuerzas Armadas y Carabineros del modo que indique la ley.,El resguardo del orden público durante los actos electorales y plebiscitarios corresponderá a las Fuerzas Armadas y Carabineros del modo que indique la ley.,156,156
61,no_hay_parecido,14,Capítulo III: DE LOS DERECHOS Y DEBERES CONSTITUCIONALES,DE LOS DERECHOS Y DEBERES CONSTITUCIONALES,56,42
62,completa,0,Artículo 19.- La Constitución asegura a todas las personas:,Artículo 19.- La Constitución asegura a todas las personas:,59,59
63,completa,0,1º.- El derecho a la vida y a la integridad física y psíquica de la persona.,1º.- El derecho a la vida y a la integridad física y psíquica de la persona.,76,76
64,completa,0,La ley protege la vida del que está por nacer.,La ley protege la vida del que está por nacer.,46,46
65,completa,0,La pena de muerte sólo podrá establecerse por delito contemplado en ley aprobada con quórum calificado.,La pena de muerte sólo podrá establecerse por delito contemplado en ley aprobada con quórum calificado.,103,103
66,completa,0,Se prohíbe la aplicación de todo apremio ilegítimo;,Se prohíbe la aplicación de todo apremio ilegítimo;,51,51
67,no_hay_parecido,43,2º.- La igualdad ante la ley. En Chile no hay persona ni grupo privilegiados. En Chile no hay esclavos y el que pise su territorio queda libre.,2º.- La igualdad ante la ley. En Chile no hay persona ni grupo privilegiados. En Chile no hay esclavos y el que pise su territorio queda libre. Hombres y mujeres son iguales ante la ley.,143,186
68,completa,0,Ni la ley ni autoridad alguna podrán establecer diferencias arbitrarias;,Ni la ley ni autoridad alguna podrán establecer diferencias arbitrarias;,72,72
69,completa,0,3º.- La igual protección de la ley en el ejercicio de sus derechos.,3º.- La igual protección de la ley en el ejercicio de sus derechos.,67,67
70,completa,0,"Toda persona tiene derecho a defensa jurídica en la forma que la ley señale y ninguna autoridad o individuo podrá impedir, restringir o perturbar la debida intervención del letrado si hubiere sido requerida. Tratándose de los integrantes de las Fuerzas Armadas y de Orden y Seguridad Pública, este derecho se regirá, en lo concerniente a lo administrativo y disciplinario, por las normas pertinentes de sus respectivos estatutos.","Toda persona tiene derecho a defensa jurídica en la forma que la ley señale y ninguna autoridad o individuo podrá impedir, restringir o perturbar la debida intervención del letrado si hubiere sido requerida. Tratándose de los integrantes de las Fuerzas Armadas y de Orden y Seguridad Pública, este derecho se regirá, en lo concerniente a lo administrativo y disciplinario, por las normas pertinentes de sus respectivos estatutos.",429,429
71,no_hay_parecido,84,La ley arbitrará los medios para otorgar asesoramiento y defensa jurídica a quienes no puedan procurárselos por sí mismos.,Los parlamentarios elegidos como independientes no serán reemplazados.,122,70
72,no_hay_parecido,44,"Nadie puede ser juzgado por comisiones especiales, sino por el tribunal que le señale la ley y que se halle establecido con anterioridad por ésta.","Nadie podrá ser juzgado por comisiones especiales, sino por el tribunal que señalare la ley y que se hallare establecido por ésta con anterioridad a la perpetración del hecho.",146,175
73,parecido,39,Toda sentencia de un órgano que ejerza jurisdicción debe fundarse en un proceso previo legalmente tramitado. Corresponderá al legislador establecer siempre las garantías de un racional y justo procedimiento.,Toda sentencia de un órgano que ejerza jurisdicción debe fundarse en un proceso previo legalmente tramitado. Corresponderá al legislador establecer siempre las garantías de un procedimiento y una investigación racionales y justos.,207,230
74,no_hay_parecido,62,"La ley no podrá presumir de derecho la responsabilidad penal. Ningún delito se castigará con otra pena que la que señale una ley promulgada con anterioridad a su perpetración, a menos que una nueva ley favorezca al afectado.","Ningún delito se castigará con otra pena que la que señale una ley promulgada con anterioridad a su perpetración, a menos que una nueva ley favorezca al afectado.",224,162
75,completa,0,Ninguna ley podrá establecer penas sin que la conducta que se sanciona esté expresamente descrita en ella;,Ninguna ley podrá establecer penas sin que la conducta que se sanciona esté expresamente descrita en ella;,106,106
76,no_hay_parecido,69,4º.- El respeto y protección a la vida privada y pública y a la honra de la persona y de su familia.,9º.- Nombrar al Contralor General de la República con acuerdo del Senado;,100,73
77,no_hay_parecido,344,"La infracción de este precepto, cometida a través de un medio de comunicación social, y que consistiere en la imputación de un hecho o acto falso, o que cause injustificadamente daño o descrédito a una persona o a su familia, será constitutiva de delito y tendrá la sanción que determine la ley. Con todo, el medio de comunicación social podrá excepcionarse probando ante el tribunal correspondiente la verdad de la imputación, a menos que ella constituya por sí misma el delito de injuria a particulares.","El juez letrado en lo civil o criminal más antiguo de asiento de Corte o el juez letrado civil o criminal más antiguo del cargo inmediatamente inferior al que se trata de proveer y que figure en lista de méritos y exprese su interés en el cargo, ocupará un lugar en la terna correspondiente. Los otros dos lugares se llenarán en atención al mérito de los candidatos.",505,366
78,no_hay_parecido,116,"Además, los propietarios, editores, directores y administradores del medio de comunicación social respectivo serán solidariamente responsables de las indemnizaciones que procedan;",8) Las personas naturales y los gerentes o administradores de personas jurídicas que celebren o caucionen contratos con el Estado;,179,130
79,completa,0,"5º.- La inviolabilidad del hogar y de toda forma de comunicación privada. El hogar sólo puede allanarse y las comunicaciones y documentos privados interceptarse, abrirse o registrarse en los casos y formas determinados por la ley;","5º.- La inviolabilidad del hogar y de toda forma de comunicación privada. El hogar sólo puede allanarse y las comunicaciones y documentos privados interceptarse, abrirse o registrarse en los casos y formas determinados por la ley;",230,230
80,completa,0,"6º.- La libertad de conciencia, la manifestación de todas las creencias y el ejercicio libre de todos los cultos que no se opongan a la moral, a las buenas costumbres o al orden público.","6º.- La libertad de conciencia, la manifestación de todas las creencias y el ejercicio libre de todos los cultos que no se opongan a la moral, a las buenas costumbres o al orden público.",186,186
81,completa,0,Las confesiones religiosas podrán erigir y conservar templos y sus dependencias bajo las condiciones de seguridad e higiene fijadas por las leyes y ordenanzas.,Las confesiones religiosas podrán erigir y conservar templos y sus dependencias bajo las condiciones de seguridad e higiene fijadas por las leyes y ordenanzas.,159,159
82,casi_completa,1,"Las iglesias, las confesiones e instituciones religiosas de cualquier culto tendrán los derechos que otorgan y reconocen, con respecto a los bienes, las leyes actualmente en vigor. Los templos y sus dependencias, destinados exclusivamente al servicio de un culto, estarán exentos de toda clase de contribuciones.","Las iglesias, las confesiones e instituciones religiosas de cualquier culto tendrán los derechos que otorgan y reconocen, con respecto a los bienes, las leyes actualmente en vigor. Los templos y sus dependencias, destinados exclusivamente al servicio de un culto, estarán exentos de toda clase de contribuciones;",312,312
83,completa,0,7º.- El derecho a la libertad personal y a la seguridad individual.,7º.- El derecho a la libertad personal y a la seguridad individual.,67,67
84,completa,0,En consecuencia:,En consecuencia:,16,16
85,completa,0,"a) Toda persona tiene derecho de residir y permanecer en cualquier lugar de la República, trasladarse de uno a otro y entrar y salir de su territorio, a condición de que se guarden las normas establecidas en la ley y salvo siempre el perjuicio de terceros;","a) Toda persona tiene derecho de residir y permanecer en cualquier lugar de la República, trasladarse de uno a otro y entrar y salir de su territorio, a condición de que se guarden las normas establecidas en la ley y salvo siempre el perjuicio de terceros;",256,256
86,completa,0,b) Nadie puede ser privado de su libertad personal ni ésta restringida sino en los casos y en la forma determinados por la Constitución y las leyes;,b) Nadie puede ser privado de su libertad personal ni ésta restringida sino en los casos y en la forma determinados por la Constitución y las leyes;,148,148
87,completa,0,"c) Nadie puede ser arrestado o detenido sino por orden de funcionario público expresamente facultado por la ley y después de que dicha orden le sea intimada en forma legal. Sin embargo, podrá ser detenido el que fuere sorprendido en delito flagrante, con el solo objeto de ser puesto a disposición del juez competente dentro de las veinticuatro horas siguientes.","c) Nadie puede ser arrestado o detenido sino por orden de funcionario público expresamente facultado por la ley y después de que dicha orden le sea intimada en forma legal. Sin embargo, podrá ser detenido el que fuere sorprendido en delito flagrante, con el solo objeto de ser puesto a disposición del juez competente dentro de las veinticuatro horas siguientes.",362,362
88,casi_completa,1,"Si la autoridad hiciere arrestar o detener a alguna persona, deberá, dentro de las cuarenta y ocho horas siguientes, dar aviso al juez competente, poniendo a su disposición al afectado. El juez podrá por resolución fundada, ampliar este plazo hasta por cinco días, y hasta por diez días, en el caso que se investigaren hechos calificados por la ley como conductas terroristas;","Si la autoridad hiciere arrestar o detener a alguna persona, deberá, dentro de las cuarenta y ocho horas siguientes, dar aviso al juez competente, poniendo a su disposición al afectado. El juez podrá, por resolución fundada, ampliar este plazo hasta por cinco días, y hasta por diez días, en el caso que se investigaren hechos calificados por la ley como conductas terroristas;",376,377
89,completa,0,"d) Nadie puede ser arrestado o detenido, sujeto a prisión preventiva o preso, sino en su casa o en lugares públicos destinados a este objeto.","d) Nadie puede ser arrestado o detenido, sujeto a prisión preventiva o preso, sino en su casa o en lugares públicos destinados a este objeto.",141,141
90,completa,0,"Los encargados de las prisiones no pueden recibir en ellas a nadie en calidad de arrestado o detenido, procesado o preso, sin dejar constancia de la orden correspondiente, emanada de autoridad que tenga facultad legal, en un registro que será público.","Los encargados de las prisiones no pueden recibir en ellas a nadie en calidad de arrestado o detenido, procesado o preso, sin dejar constancia de la orden correspondiente, emanada de autoridad que tenga facultad legal, en un registro que será público.",251,251
91,completa,0,"Ninguna incomunicación puede impedir que el funcionario encargado de la casa de detención visite al arrestado o detenido, procesado o preso, que se encuentre en ella. Este funcionario está obligado, siempre que el arrestado o detenido lo requiera, a transmitir al juez competente la copia de la orden de detención, o a reclamar para que se le dé dicha copia, o a dar él mismo un certificado de hallarse detenido aquel individuo, si al tiempo de su detención se hubiere omitido este requisito;","Ninguna incomunicación puede impedir que el funcionario encargado de la casa de detención visite al arrestado o detenido, procesado o preso, que se encuentre en ella. Este funcionario está obligado, siempre que el arrestado o detenido lo requiera, a transmitir al juez competente la copia de la orden de detención, o a reclamar para que se le dé dicha copia, o a dar él mismo un certificado de hallarse detenido aquel individuo, si al tiempo de su detención se hubiere omitido este requisito;",492,492
92,parecido,26,e) La libertad provisional procederá a menos que la detención o la prisión preventiva sea considerada por el juez como necesaria para las investigaciones del sumario o para la seguridad del ofendido o de la sociedad. La ley establecerá los requisitos y modalidades para obtenerla;,e) La libertad del imputado procederá a menos que la detención o prisión preventiva sea considerada por el juez como necesaria para las investigaciones o para la seguridad del ofendido o de la sociedad. La ley establecerá los requisitos y modalidades para obtenerla.,280,266
